cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
15,137,143,54386,54667
16,116,122,50155,50605
12,117,116,36390,36491
3,132,136,40902,41127
39,162,160,53891,54441
120,94,103,18493,18604
10,130,135,50177,50507
14,132,135,55942,56593
6,136,148,51421,51367
17,139,132,39418,39294
7,126,129,46698,46527
5,132,133,51141,50585
57,103,113,23665,23829
19,114,111,14092,14247
119,79,79,11115,11227
114,141,154,14317,14608
104,96,99,28718,28732
13,138,136,29002,28894
8,127,120,17495,17813
98,88,86,15837,15774
46,106,114,17116,17178
4,146,141,22617,22781
26,95,93,15043,15042
106,110,114,13017,13131
54,106,107,9503,9462
48,119,114,16801,17214
51,130,130,14399,14571
11,105,115,21310,21267
28,123,128,16355,16388
35,113,107,11193,11147
2,131,132,27595,27631
121,98,95,14245,14263
109,85,77,11265,11229
58,100,101,17718,17596
21,95,97,11090,11023
193,73,73,4284,4297
33,123,124,20507,20396
81,88,86,5694,5574
38,107,100,7051,6999
9,116,108,10287,10320
105,71,68,3893,3856
50,109,113,8357,8409
37,101,99,9267,9363
20,100,110,11262,11235
70,84,80,9032,8848
101,110,101,7796,7793
76,99,107,6289,6251
140,51,50,4976,4927
97,97,98,6804,6736
24,97,97,7169,7155
31,95,94,8797,8687
1,119,121,7943,7668
62,82,77,3973,3941
41,113,108,9065,9018
34,117,112,4170,4137
18,105,107,11049,10907
25,102,106,6579,6488
56,77,75,3475,3558
118,85,81,4224,4208
27,96,95,5272,5172
30,114,114,6426,6374
95,63,62,2895,2910
60,78,78,2522,2466
83,109,112,3332,3326
87,104,108,3522,3549
65,91,92,2237,2208
108,107,105,5508,5468
68,106,96,2341,2347
44,120,132,5440,5365
67,159,162,6304,6363
390,36,43,2200,2184
122,65,65,4249,4228
77,87,104,2630,2572
49,89,90,2037,1979
52,89,84,1995,1963
32,101,98,3547,3514
385,37,35,1192,1167
29,97,88,5813,5689
22,87,86,3490,3445
53,120,119,3492,3517
88,60,59,1274,1236
43,110,108,2769,2739
79,95,93,1905,1900
45,127,122,4620,4584
36,87,89,2249,2210
55,93,99,3372,3307
157,36,37,747,746
71,104,102,1823,1760
85,88,101,1775,1747
91,70,73,1683,1668
99,92,95,3490,3427
74,94,91,2548,2558
132,74,80,1833,1809
131,40,40,982,988
175,44,43,849,844
138,24,20,752,743
350,19,22,709,703
100,56,54,1037,1028
92,57,52,954,936
107,74,72,1046,1029
124,89,89,1561,1539
69,90,87,2096,2057
23,121,115,3838,3779
136,37,35,830,831
115,71,83,2196,2203
75,84,88,1936,1918
42,102,95,2649,2630
73,78,83,1491,1440
143,32,30,551,547
72,66,69,1199,1210
59,114,112,2204,2192
40,86,90,1902,1880
63,104,110,2474,2414
134,39,41,1046,1022
293,20,19,570,567
180,37,31,643,637
61,77,74,1487,1457
82,76,69,1040,1046
110,70,78,1333,1068
90,70,71,1374,1333
148,20,26,472,468
156,61,49,674,667
149,20,19,295,284
93,74,76,1152,1143
227,26,25,377,380
66,95,95,1202,1169
123,45,47,680,685
515,25,21,325,318
84,68,62,759,740
181,25,29,407,407
399,16,20,323,321
164,53,60,752,793
116,36,31,430,431
47,72,70,1084,1076
161,27,27,282,290
565,32,30,367,362
133,14,16,310,299
401,11,9,179,177
318,18,19,229,226
125,47,45,878,855
553,21,23,422,424
103,68,60,845,810
154,35,35,424,422
163,19,20,249,248
189,48,50,522,512
102,99,104,1531,1469
196,19,15,298,295
111,60,55,993,979
135,22,23,269,266
206,22,18,210,203
94,90,85,1150,1150
375,8,10,285,287
117,30,28,256,259
183,21,20,222,213
182,17,17,196,197
78,60,62,579,580
208,39,39,369,355
128,52,52,659,652
86,65,62,802,784
174,70,82,876,923
427,4,6,109,110
170,28,27,235,233
409,21,16,235,233
194,26,28,301,303
403,10,12,216,221
144,33,37,434,444
89,72,71,721,718
342,9,12,147,145
172,16,15,172,171
176,23,21,136,135
191,29,23,219,210
96,63,61,418,420
145,22,24,265,253
160,28,26,288,283
142,41,42,294,289
338,19,14,202,195
178,28,27,231,232
199,21,25,260,259
211,27,25,287,279
186,29,23,249,242
197,34,31,244,227
64,57,56,497,482
158,19,22,158,153
141,16,17,158,162
204,21,23,211,207
113,56,47,455,424
184,38,38,212,235
207,25,29,207,209
483,15,12,109,104
294,20,24,122,126
153,21,22,147,152
192,25,23,141,134
151,22,18,148,142
169,23,25,144,150
188,19,20,126,130
126,23,23,177,180
166,21,17,157,154
469,6,7,51,56
348,5,3,53,51
173,17,13,113,111
550,12,11,109,112
539,14,11,117,111
152,15,16,109,107
198,14,14,53,54
324,10,8,58,69
439,10,7,52,53
177,34,40,173,169
546,10,11,80,79
112,64,63,423,394
295,14,9,53,56
570,22,17,111,112
129,23,27,141,133
548,12,14,58,56
551,25,22,139,135
462,6,4,29,32
80,43,38,194,190
130,15,14,81,79
413,17,14,66,47
530,12,8,56,55
268,3,6,28,32
232,4,4,31,29
209,8,9,34,33
557,8,6,31,28
334,8,9,44,45
441,8,5,30,24
327,9,9,38,38
243,7,8,48,47
397,28,28,61,58
568,5,6,34,32
167,10,9,36,34
482,16,17,64,66
418,8,9,41,42
137,12,16,53,54
213,4,3,23,21
212,8,11,59,61
414,4,3,31,29
150,24,21,86,83
205,14,15,83,85
508,2,3,27,27
545,10,10,40,34
155,25,27,99,93
185,17,17,70,65
298,15,11,37,36
456,5,6,24,28
139,6,8,44,47
171,14,14,52,47
277,12,13,30,30
555,7,7,26,26
387,4,9,26,27
127,10,10,26,24
237,4,4,18,17
310,5,6,34,33
467,4,4,23,26
283,7,6,24,23
214,7,6,33,33
472,5,4,22,21
238,7,11,27,29
364,13,10,33,28
421,6,7,19,16
505,4,4,17,18
486,10,8,22,21
540,13,11,33,30
519,6,3,17,12
369,5,7,26,25
315,5,8,24,24
286,5,6,20,21
560,3,3,13,10
168,17,15,62,58
333,8,7,21,24
393,7,5,22,22
309,2,2,10,10
202,11,12,36,36
363,6,10,24,23
146,7,4,24,22
190,14,12,31,30
525,6,8,21,23
308,3,2,10,11
312,5,4,14,15
201,12,11,24,28
284,3,3,11,11
368,2,3,11,11
254,9,9,26,28
475,12,11,32,29
224,9,7,21,21
378,6,7,17,16
279,3,5,16,13
520,5,5,13,13
278,6,3,15,15
559,5,5,15,17
533,2,3,13,13
179,10,13,27,28
356,3,3,6,9
266,5,5,12,15
496,3,1,9,7
305,7,10,23,23
362,5,4,10,8
282,1,1,6,6
162,4,6,14,14
200,5,5,11,8
531,3,2,7,7
147,7,5,21,18
307,6,6,20,20
549,4,3,9,8
526,5,5,14,13
563,4,4,10,10
291,3,2,7,6
365,2,2,5,6
516,3,2,5,6
229,1,3,5,4
244,2,3,6,7
381,4,4,10,11
285,2,5,8,8
528,1,1,5,5
210,15,12,24,22
523,11,10,16,18
498,3,2,7,5
351,3,2,6,6
239,5,4,11,11
493,3,6,10,9
415,2,2,5,6
497,3,1,7,5
301,4,2,7,6
398,12,11,22,20
343,6,5,11,8
558,2,2,5,5
165,9,7,11,12
455,4,4,7,8
339,7,7,11,11
499,8,5,13,11
290,4,4,9,10
404,4,5,10,11
459,7,6,9,11
340,1,3,4,4
358,5,5,12,10
280,2,4,6,6
195,6,10,12,13
337,7,9,14,13
406,2,2,5,4
215,4,4,9,8
300,3,3,9,9
447,3,3,6,6
487,5,4,6,7
249,1,1,4,2
159,7,8,10,11
225,2,1,4,3
412,1,1,3,1
203,8,8,15,13
384,1,1,2,3
453,2,3,6,7
289,3,2,5,5
233,1,3,3,3
380,4,2,6,5
366,3,4,6,6
417,5,4,10,7
554,3,3,5,5
326,1,1,3,1
408,2,2,4,4
261,3,4,5,5
431,3,3,5,4
187,8,8,12,12
367,3,5,5,6
221,8,9,12,14
452,2,2,5,4
394,3,3,4,5
275,1,1,3,2
226,6,4,9,7
345,3,2,3,4
349,2,3,4,3
562,3,2,4,3
245,1,1,1,2
537,8,6,9,8
302,1,1,2,1
543,2,1,3,1
461,3,4,4,4
422,4,5,6,6
269,2,2,3,3
484,5,5,6,7
478,3,2,3,3
542,1,2,2,2
534,2,1,2,2
379,1,1,2,2
230,2,2,3,3
265,2,2,2,3
331,1,1,2,2
360,2,3,3,3
317,2,1,3,2
410,2,2,2,3
501,2,2,3,3
241,4,3,4,4
400,1,2,2,3
513,2,2,3,3
426,2,3,3,3
411,3,4,4,5
437,2,3,3,4
297,2,2,3,3
434,3,2,3,3
314,3,1,3,2
306,3,3,5,5
547,1,3,2,3
271,2,1,2,2
217,5,2,6,4
474,4,3,4,4
402,1,2,2,2
476,3,3,4,3
388,2,2,2,3
492,2,2,3,3
416,0,1,0,2
242,1,2,1,3
256,2,1,2,2
488,2,2,3,2
407,1,1,1,2
222,1,2,1,4
216,3,3,3,4
352,1,1,1,1
248,3,4,3,4
371,0,1,0,1
320,1,0,1,0
273,2,1,2,1
532,2,1,2,1
471,1,1,1,1
376,1,1,1,1
253,1,2,1,2
454,1,1,1,1
377,1,1,1,1
443,1,1,1,1
556,1,1,1,1
374,1,1,1,1
236,2,2,2,2
303,1,1,1,1
522,1,1,1,1
538,1,1,1,1
507,2,2,2,2
258,1,0,1,0
272,1,1,1,1
502,1,1,1,1
468,1,1,1,1
458,2,2,2,2
509,3,0,3,0
405,2,2,2,2
524,1,1,1,1
465,1,0,1,0
246,2,2,2,2
336,1,1,1,1
296,3,3,3,3
262,2,1,2,1
429,4,3,4,3
445,1,0,1,0
517,2,3,2,3
355,1,1,1,1
219,2,1,2,1
436,1,1,1,1
311,1,1,1,1
425,0,2,0,2
357,1,1,1,1
370,3,2,3,2
228,1,1,1,1
438,1,1,1,1
470,0,1,0,1
240,0,1,0,1
424,1,1,1,1
372,2,2,2,2
395,1,1,1,1
252,1,1,1,1
251,1,1,1,1
446,1,1,1,1
489,0,1,0,1
263,1,1,1,1
325,2,1,2,1
529,0,1,0,1
442,2,2,2,2
569,1,2,1,2
500,1,3,1,3
346,1,1,1,1
490,0,1,0,1
218,0,1,0,1
511,1,1,1,1
344,0,1,0,1
328,1,1,1,1
485,1,1,1,1
250,1,1,1,1
392,1,1,1,1
480,0,1,0,1
330,0,1,0,1
313,0,1,0,1
396,1,2,1,2
535,1,2,1,2
234,1,1,1,1
220,1,0,1,0
386,0,1,0,1
383,2,2,2,2
391,1,1,1,1
257,1,0,1,0
423,1,1,1,1
